F1@10,F1@25,F1@50,Edit,Acc,Avg,Name
0,0,0,0.0,0.0,0.0,P08_cam01_P08_juice
0,0,0,0.0,0.0,0.0,P08_cam01_P08_tea
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_cereals
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_coffee
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_friedegg
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_juice
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_milk
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_pancake
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_salat
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_sandwich
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_scrambledegg
0,0,0,0.0,0.0,0.0,P08_webcam01_P08_tea
0,0,0,0.0,0.0,0.0,P09_cam01_P09_coffee
0,0,0,0.0,0.0,0.0,P09_cam01_P09_friedegg
0,0,0,0.0,0.0,0.0,P09_cam01_P09_juice
0,0,0,0.0,0.0,0.0,P09_cam01_P09_milk
0,0,0,0.0,0.0,0.0,P09_cam01_P09_scrambledegg
0,0,0,0.0,0.0,0.0,P09_cam01_P09_tea
0,0,0,0.0,0.0,0.0,P09_webcam01_P09_cereals
0,0,0,0.0,0.0,0.0,P09_webcam01_P09_coffee
0,0,0,0.0,0.0,0.0,P09_webcam01_P09_juice
0,0,0,0.0,0.0,0.0,P09_webcam01_P09_milk
0,0,0,0.0,0.0,0.0,P09_webcam01_P09_pancake
0,0,0,0.0,0.0,0.0,P09_webcam01_P09_salat
0,0,0,0.0,0.0,0.0,P09_webcam01_P09_sandwich
0,0,0,0.0,0.0,0.0,P09_webcam01_P09_scrambledegg
0,0,0,0.0,0.0,0.0,P09_webcam01_P09_tea
0,0,0,0.0,0.0,0.0,P10_cam01_P10_sandwich
0,0,0,0.0,0.0,0.0,P10_webcam01_P10_cereals
0,0,0,0.0,0.0,0.0,P10_webcam01_P10_coffee
0,0,0,0.0,0.0,0.0,P10_webcam01_P10_friedegg
0,0,0,0.0,0.0,0.0,P10_webcam01_P10_juice
0,0,0,0.0,0.0,0.0,P10_webcam01_P10_milk
